Zipcode,Total Students Enrolled,Median Household Income,o25_10th_grade_attained_ratio,o25_11th_grade_attained_ratio,o25_12th_grade_started_ratio,o25_high_school_completed_ratio,o25_ged_attained_ratio,o25_less_one_yr_college_ratio,o25_more_one_yr_college_ratio,o25_assoc_degree_completed_ratio,o25_bach_degree_completed_ratio,o25_masters_degree_completed_ratio,o25_professional_degree_completed_ratio,o25_doctoral_degree_completed_ratio,married ratio,female hoh ratio,male hoh ratio,non family ratio,Population Total,Population white ratio,Population black/aa ratio,Population indigenous ratio,Population asian ratio,Population haw/pac islander ratio,Population other ratio,Population mixed ratio,Population hispanic/latino ratio,School Rating,Students Per Teacher Count
92026,651.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,5.0,20
92026,590.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,5.0,20
92026,2244.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,5.0,22
92026,464.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,4.0,17
92026,1135.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,4.0,20
92026,614.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,4.0,20
92026,510.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,3.0,18
92026,499.0,55937.0,0.0156396713615023,0.0151995305164319,0.0164906103286384,0.1741197183098591,0.0263791079812206,0.055575117370892,0.1453638497652582,0.1604460093896713,0.1843016431924882,0.0571009389671361,0.0148767605633802,0.0104166666666666,0.74396351278841,0.1699159363262386,0.0716329815775353,0.0144875693078161,50412.0,0.5211259223994287,0.0210069031183051,0.001031500436404,0.0905736729350154,0.0016662699357295,0.0017059430294374,0.0194398159168451,0.3434499722288344,3.0,21
92027,1179.0,53397.0,0.0190228895599898,0.0182326211509694,0.0300301995427732,0.1936439840817363,0.0250345742428946,0.0563348480144506,0.1601986960571251,0.0933645677514041,0.1313256752561316,0.0472467613107166,0.0085800570122209,0.0051085207868815,0.696206628689798,0.1932936302433972,0.0971646815121698,0.0133350595546349,56875.0,0.3751912087912088,0.0209406593406593,0.0003692307692307,0.0573362637362637,0.0011428571428571,0.0029890109890109,0.0200087912087912,0.522021978021978,7.0,21
92027,305.0,53397.0,0.0190228895599898,0.0182326211509694,0.0300301995427732,0.1936439840817363,0.0250345742428946,0.0563348480144506,0.1601986960571251,0.0933645677514041,0.1313256752561316,0.0472467613107166,0.0085800570122209,0.0051085207868815,0.696206628689798,0.1932936302433972,0.0971646815121698,0.0133350595546349,56875.0,0.3751912087912088,0.0209406593406593,0.0003692307692307,0.0573362637362637,0.0011428571428571,0.0029890109890109,0.0200087912087912,0.522021978021978,7.0,24
92028,552.0,57970.0,0.0139442231075697,0.0103827115779307,0.0196184957141132,0.1869189907038512,0.0274658939997585,0.0854159121091392,0.167632500301823,0.1058493299529156,0.1885186526620789,0.0615115296390196,0.0130387540746106,0.0102921646746347,0.7120691348325641,0.1682215457134439,0.1169596386133752,0.0027496808406167,47807.0,0.587570857824168,0.017988997427155,0.001652477670634,0.0278411111343527,0.0060451398330788,0.0018825694981906,0.0214822097182421,0.3355366368941787,5.0,23
92027,856.0,53397.0,0.0190228895599898,0.0182326211509694,0.0300301995427732,0.1936439840817363,0.0250345742428946,0.0563348480144506,0.1601986960571251,0.0933645677514041,0.1313256752561316,0.0472467613107166,0.0085800570122209,0.0051085207868815,0.696206628689798,0.1932936302433972,0.0971646815121698,0.0133350595546349,56875.0,0.3751912087912088,0.0209406593406593,0.0003692307692307,0.0573362637362637,0.0011428571428571,0.0029890109890109,0.0200087912087912,0.522021978021978,7.0,15
