zipcode,Total Students Enrolled_x,Average_School_Rating,MEDIAN HOUSEHOLD INCOME,MEDIAN INCOME BLACK/AA,MEDIAN INCOME INDIGENOUS PEOPLE,MEDIAN INCOME ASIAN,MEDIAN INCOME HAW/PAC ISLANDER,MEDIAN INCOME OTHER RACE,MEDIAN INCOME MIXED RACE,MEDIAN INCOME WHITE/NOT LATINO,MEDIAN INCOME HISPANIC/LATINO,o25_10th_grade_attained_ratio,o25_11th_grade_attained_ratio,o25_12th_grade_started_ratio,o25_high_school_completed_ratio,o25_ged_attained_ratio,o25_less_one_yr_college_ratio,o25_more_one_yr_college_ratio,o25_assoc_degree_completed_ratio,o25_bach_degree_completed_ratio,o25_masters_degree_completed_ratio,o25_professional_degree_completed_ratio,o25_doctoral_degree_completed_ratio,married_ratio,female_hoh_ratio,male_hoh_ratio,non_family_ratio,POPULATION_TOTAL,population_white_ratio,population_black_aa_ratio,population_indigenous_ratio,population_asian_ratio,population_haw_pac_islander_ratio,population_other_ratio,population_mixed_ratio,population_hispanic_latino_ratio,Theft Count_x,latitude_x,longitude_x,Substance Abuse Count_x,Violent Count_x,Miscellaneous Count_x,Theft Count_y,latitude_y,longitude_y,Substance Abuse Count_y,Violent Count_y,Miscellaneous Count_y,School Name,School Rating,School Address,City,Grades,Total Students Enrolled_y,Students Per Teacher,District,total_school_rating_points,San Diego County Zip Codes
91901,1560,5.953846153846154,79859,143917,53750,78625,0,48026,0,88039,49500,0.012959304622678783,0.02433820624259186,0.027340971947846703,0.19391544843935205,0.030896878704069538,0.057763729751086526,0.24251284077439747,0.09845910707230343,0.175345713156855,0.06874753062030818,0.029237455551165546,0.011299881469774793,0.644103098151523,0.2403020046862796,0.10127570945066389,0.014319187711533454,18507,0.7691143891500514,0.013184200572756254,0.018263359809801698,0.011022856216566705,0.00129680661371373,0.006754201113092343,0.012211595612470956,0.168152590911547,79,32.78992,-116.7112,317,50,52,79,32.78992,-116.7112,317,50,52,The Heights Charter,7,"2710 Alpine Boulevard, Suite E", Alpine,K-8,244,15:1,Dehesa Elementary,1708,91901
91901,1560,5.953846153846154,79859,143917,53750,78625,0,48026,0,88039,49500,0.012959304622678783,0.02433820624259186,0.027340971947846703,0.19391544843935205,0.030896878704069538,0.057763729751086526,0.24251284077439747,0.09845910707230343,0.175345713156855,0.06874753062030818,0.029237455551165546,0.011299881469774793,0.644103098151523,0.2403020046862796,0.10127570945066389,0.014319187711533454,18507,0.7691143891500514,0.013184200572756254,0.018263359809801698,0.011022856216566705,0.00129680661371373,0.006754201113092343,0.012211595612470956,0.168152590911547,79,32.78992,-116.7112,317,50,52,79,32.78992,-116.7112,317,50,52,Boulder Oaks Elementary,6,2320 Tavern Road, Alpine,1-5,333,24:1,Alpine Union Elementary,1998,91901
91901,1560,5.953846153846154,79859,143917,53750,78625,0,48026,0,88039,49500,0.012959304622678783,0.02433820624259186,0.027340971947846703,0.19391544843935205,0.030896878704069538,0.057763729751086526,0.24251284077439747,0.09845910707230343,0.175345713156855,0.06874753062030818,0.029237455551165546,0.011299881469774793,0.644103098151523,0.2403020046862796,0.10127570945066389,0.014319187711533454,18507,0.7691143891500514,0.013184200572756254,0.018263359809801698,0.011022856216566705,0.00129680661371373,0.006754201113092343,0.012211595612470956,0.168152590911547,79,32.78992,-116.7112,317,50,52,79,32.78992,-116.7112,317,50,52,Joan MacQueen Middle,6,2001 Tavern Road, Alpine,6-8,438,20:1,Alpine Union Elementary,2628,91901
91901,1560,5.953846153846154,79859,143917,53750,78625,0,48026,0,88039,49500,0.012959304622678783,0.02433820624259186,0.027340971947846703,0.19391544843935205,0.030896878704069538,0.057763729751086526,0.24251284077439747,0.09845910707230343,0.175345713156855,0.06874753062030818,0.029237455551165546,0.011299881469774793,0.644103098151523,0.2403020046862796,0.10127570945066389,0.014319187711533454,18507,0.7691143891500514,0.013184200572756254,0.018263359809801698,0.011022856216566705,0.00129680661371373,0.006754201113092343,0.012211595612470956,0.168152590911547,79,32.78992,-116.7112,317,50,52,79,32.78992,-116.7112,317,50,52,Shadow Hills Elementary,6,8770 Harbison Canyon Road, Alpine,K-5,387,20:1,Alpine Union Elementary,2322,91901
91901,1560,5.953846153846154,79859,143917,53750,78625,0,48026,0,88039,49500,0.012959304622678783,0.02433820624259186,0.027340971947846703,0.19391544843935205,0.030896878704069538,0.057763729751086526,0.24251284077439747,0.09845910707230343,0.175345713156855,0.06874753062030818,0.029237455551165546,0.011299881469774793,0.644103098151523,0.2403020046862796,0.10127570945066389,0.014319187711533454,18507,0.7691143891500514,0.013184200572756254,0.018263359809801698,0.011022856216566705,0.00129680661371373,0.006754201113092343,0.012211595612470956,0.168152590911547,79,32.78992,-116.7112,317,50,52,79,32.78992,-116.7112,317,50,52,Alpine Elementary,4,1850 Alpine Boulevard, Alpine,1-5,158,20:1,Alpine Union Elementary,632,91901
91902,1372,6.14868804664723,86913,113875,0,80192,0,68750,197708,89461,77992,0.0067898906073179935,0.010712938513768389,0.017955488494907582,0.17540550735571483,0.01901169370049038,0.06842700867597133,0.17268955111278764,0.08706148623161071,0.2137306676725764,0.12538664654847229,0.027687665032063373,0.01093926820067899,0.8185053380782918,0.12263892690938955,0.058855735012318645,0,18813,0.3659171849253176,0.04449051188008292,0.0009567852017222134,0.08844947642587572,0.004943390208898103,0,0.03603890926487004,0.4592037420932334,65,32.674,-117.021,24,19,29,65,32.674,-117.021,24,19,29,Allen (Ella B.) Elementary,7,4300 Allen School Road, Bonita,K-6,354,20:1,Chula Vista Elementary,2478,91902
91902,1372,6.14868804664723,86913,113875,0,80192,0,68750,197708,89461,77992,0.0067898906073179935,0.010712938513768389,0.017955488494907582,0.17540550735571483,0.01901169370049038,0.06842700867597133,0.17268955111278764,0.08706148623161071,0.2137306676725764,0.12538664654847229,0.027687665032063373,0.01093926820067899,0.8185053380782918,0.12263892690938955,0.058855735012318645,0,18813,0.3659171849253176,0.04449051188008292,0.0009567852017222134,0.08844947642587572,0.004943390208898103,0,0.03603890926487004,0.4592037420932334,65,32.674,-117.021,24,19,29,65,32.674,-117.021,24,19,29,Sunnyside Elementary,7,5430 San Miguel Road, Bonita,K-6,434,20:1,Chula Vista Elementary,3038,91902
91902,1372,6.14868804664723,86913,113875,0,80192,0,68750,197708,89461,77992,0.0067898906073179935,0.010712938513768389,0.017955488494907582,0.17540550735571483,0.01901169370049038,0.06842700867597133,0.17268955111278764,0.08706148623161071,0.2137306676725764,0.12538664654847229,0.027687665032063373,0.01093926820067899,0.8185053380782918,0.12263892690938955,0.058855735012318645,0,18813,0.3659171849253176,0.04449051188008292,0.0009567852017222134,0.08844947642587572,0.004943390208898103,0,0.03603890926487004,0.4592037420932334,65,32.674,-117.021,24,19,29,65,32.674,-117.021,24,19,29,Valley Vista Elementary,5,3724 Valley Vista Way, Bonita,K-6,584,19:1,Chula Vista Elementary,2920,91902
91906,454,4.279735682819383,49276,0,24306,0,0,0,0,54688,49079,0.09062912450505939,0.026836779586449627,0.0431148262208535,0.26044874615046193,0.0409150901891773,0.062032556093268805,0.20413550373955125,0.05983282006159261,0.0774307083150022,0.05763308402991641,0.0061592608886933565,0,0.39191073919107394,0.43793584379358436,0.1701534170153417,0,3466,0.6243508366993653,0.025966532025389497,0.06231967686093479,0.011829197922677438,0,0,0.015291402192729371,0.26024235429890363,11,32.70247,-116.50462,4,15,6,11,32.70247,-116.50462,4,15,6,Campo Elementary,5,1654 Buckman Springs Road, Campo,K-8,345,22:1,Mountain Empire Unified,1725,91906
91906,454,4.279735682819383,49276,0,24306,0,0,0,0,54688,49079,0.09062912450505939,0.026836779586449627,0.0431148262208535,0.26044874615046193,0.0409150901891773,0.062032556093268805,0.20413550373955125,0.05983282006159261,0.0774307083150022,0.05763308402991641,0.0061592608886933565,0,0.39191073919107394,0.43793584379358436,0.1701534170153417,0,3466,0.6243508366993653,0.025966532025389497,0.06231967686093479,0.011829197922677438,0,0,0.015291402192729371,0.26024235429890363,11,32.70247,-116.50462,4,15,6,11,32.70247,-116.50462,4,15,6,Camp Lockett Middle,2,31360 California 94, Campo,7-8,109,18:1,Mountain Empire Unified,218,91906
